"Date","Price","Open","High","Low","Change %"
"Apr 17, 2023","2.856","2.848","2.856","2.848","0.79%"
"Apr 14, 2023","2.834","2.880","2.880","2.824","-0.04%"
"Apr 13, 2023","2.835","2.870","2.870","2.821","0.53%"
"Apr 12, 2023","2.820","2.890","2.890","2.815","-0.35%"
"Apr 11, 2023","2.830","2.900","2.900","2.825","-0.77%"
"Apr 10, 2023","2.852","2.906","2.906","2.848","-0.14%"
"Apr 07, 2023","2.856","2.920","2.920","2.846","-0.38%"
"Apr 06, 2023","2.867","2.958","2.958","2.860","0.03%"
"Apr 04, 2023","2.866","2.930","2.930","2.858","-0.14%"
"Apr 03, 2023","2.870","2.913","2.913","2.853","0.31%"
"Mar 31, 2023","2.861","2.930","2.930","2.854","0.03%"
"Mar 30, 2023","2.860","2.900","2.900","2.850","-0.17%"
"Mar 29, 2023","2.865","2.926","2.926","2.856","0.07%"
"Mar 28, 2023","2.863","2.880","2.880","2.856","0.10%"
"Mar 27, 2023","2.860","2.938","2.938","2.854","-0.66%"
"Mar 24, 2023","2.879","2.935","2.935","2.866","0.17%"
"Mar 23, 2023","2.874","2.928","2.928","2.856","0.35%"
"Mar 22, 2023","2.864","2.880","2.880","2.858","-0.14%"
"Mar 21, 2023","2.868","2.870","2.870","2.855","0.17%"
"Mar 20, 2023","2.863","2.900","2.900","2.855","-0.14%"
"Mar 17, 2023","2.867","2.925","2.925","2.855","0.31%"
"Mar 16, 2023","2.858","2.920","2.930","2.858","-0.69%"
"Mar 15, 2023","2.878","2.928","2.928","2.870","-0.24%"
"Mar 14, 2023","2.885","2.910","2.910","2.871","0.07%"
"Mar 13, 2023","2.883","2.933","2.933","2.864","0.10%"
"Mar 10, 2023","2.880","2.911","2.911","2.876","-0.28%"
"Mar 09, 2023","2.888","2.916","2.916","2.887","-0.28%"
"Mar 08, 2023","2.896","2.913","2.963","2.885","0.21%"
"Mar 07, 2023","2.890","2.918","2.918","2.887","-0.28%"
"Mar 06, 2023","2.898","2.900","2.922","2.893","-0.72%"
"Mar 03, 2023","2.919","2.990","2.990","2.915","-0.31%"
"Mar 02, 2023","2.928","2.928","2.932","2.912","0.51%"
"Mar 01, 2023","2.913","2.918","2.918","2.911","0.00%"
"Feb 28, 2023","2.913","2.920","2.930","2.912","-0.10%"
"Feb 27, 2023","2.916","2.910","2.948","2.910","-0.10%"
"Feb 24, 2023","2.919","2.943","2.943","2.914","-0.21%"
"Feb 23, 2023","2.925","2.955","2.955","2.917","0.14%"
"Feb 22, 2023","2.921","2.929","2.929","2.916","-0.03%"
"Feb 21, 2023","2.922","2.965","2.965","2.919","0.10%"
"Feb 20, 2023","2.919","2.980","2.980","2.892","0.93%"
"Feb 17, 2023","2.892","2.925","2.935","2.890","-0.31%"
"Feb 16, 2023","2.901","2.970","2.970","2.893","0.14%"
"Feb 15, 2023","2.897","2.920","2.920","2.892","0.14%"
"Feb 14, 2023","2.893","3.020","3.020","2.892","-0.31%"
"Feb 13, 2023","2.902","3.000","3.000","2.894","-0.07%"
"Feb 10, 2023","2.904","2.940","2.940","2.892","0.24%"
"Feb 09, 2023","2.897","2.930","2.930","2.889","-0.28%"
"Feb 08, 2023","2.905","2.945","2.945","2.894","0.14%"
"Feb 07, 2023","2.901","2.945","2.945","2.900","-0.28%"
"Feb 06, 2023","2.909","2.943","2.943","2.894","-0.58%"
"Feb 03, 2023","2.926","2.960","2.970","2.915","-0.41%"
"Feb 02, 2023","2.938","2.970","2.970","2.920","0.10%"
"Feb 01, 2023","2.935","2.966","2.966","2.923","0.24%"
"Jan 31, 2023","2.928","3.060","3.060","2.918","-0.41%"
"Jan 30, 2023","2.940","3.021","3.021","2.933","-0.61%"
"Jan 29, 2023","2.958","2.971","2.971","2.953","-0.50%"
"Jan 28, 2023","2.973","2.972","2.983","2.970","-0.40%"
"Jan 20, 2023","2.985","3.005","3.005","2.960","1.19%"
"Jan 19, 2023","2.950","3.023","3.023","2.938","-0.07%"
"Jan 18, 2023","2.952","3.000","3.000","2.923","0.24%"
"Jan 17, 2023","2.945","3.035","3.035","2.928","-0.34%"
"Jan 16, 2023","2.955","3.007","3.007","2.943","0.75%"
"Jan 13, 2023","2.933","2.980","2.980","2.907","0.55%"
"Jan 12, 2023","2.917","2.933","2.933","2.908","0.00%"
"Jan 11, 2023","2.917","2.951","2.951","2.907","-0.10%"
"Jan 10, 2023","2.920","2.965","2.965","2.893","0.59%"
"Jan 09, 2023","2.903","2.965","2.965","2.883","0.62%"
"Jan 06, 2023","2.885","2.910","2.910","2.873","0.52%"
"Jan 05, 2023","2.870","2.884","2.884","2.859","0.24%"
"Jan 04, 2023","2.863","2.897","2.897","2.856","-0.35%"
"Jan 03, 2023","2.873","2.947","2.947","2.863","-0.38%"
"Dec 30, 2022","2.884","2.901","2.901","2.869","0.07%"
"Dec 29, 2022","2.882","2.918","2.918","2.873","-0.38%"
"Dec 28, 2022","2.893","2.948","2.948","2.890","-0.41%"
"Dec 27, 2022","2.905","2.909","2.909","2.874","0.76%"
"Dec 26, 2022","2.883","2.938","2.938","2.858","0.63%"
"Dec 23, 2022","2.865","2.909","2.909","2.858","-0.52%"
"Dec 22, 2022","2.880","2.927","2.927","2.869","-0.62%"
"Dec 21, 2022","2.898","2.936","2.936","2.890","0.00%"
"Dec 20, 2022","2.898","2.918","2.925","2.888","0.07%"
"Dec 19, 2022","2.896","2.993","2.993","2.875","-0.52%"
"Dec 16, 2022","2.911","2.943","2.943","2.906","0.07%"
"Dec 15, 2022","2.909","2.913","2.913","2.890","0.48%"
"Dec 14, 2022","2.895","2.954","2.954","2.888","-1.19%"
"Dec 13, 2022","2.930","2.923","2.943","2.920","0.24%"
"Dec 12, 2022","2.923","3.025","3.025","2.902","-0.07%"
"Dec 09, 2022","2.925","2.950","2.950","2.907","0.65%"
"Dec 08, 2022","2.906","2.932","2.932","2.887","0.14%"
"Dec 07, 2022","2.902","2.984","2.984","2.902","-1.56%"
"Dec 06, 2022","2.948","2.935","2.948","2.919","0.89%"
"Dec 05, 2022","2.922","2.950","2.980","2.906","0.65%"
"Dec 02, 2022","2.903","2.937","2.937","2.897","-0.14%"
"Dec 01, 2022","2.907","2.932","2.948","2.900","-0.55%"
"Nov 30, 2022","2.923","2.943","2.943","2.899","0.41%"
"Nov 29, 2022","2.911","2.880","2.911","2.875","1.53%"
"Nov 28, 2022","2.867","2.925","2.925","2.829","0.92%"
"Nov 25, 2022","2.841","2.828","2.841","2.797","1.21%"
"Nov 24, 2022","2.807","2.803","2.822","2.792","-0.32%"
"Nov 23, 2022","2.816","2.840","2.860","2.816","-1.02%"
"Nov 22, 2022","2.845","2.857","2.857","2.820","0.57%"
"Nov 21, 2022","2.829","2.870","2.900","2.804","-0.14%"
"Nov 18, 2022","2.833","2.850","2.850","2.803","0.39%"
"Nov 17, 2022","2.822","2.838","2.860","2.814","-0.91%"
"Nov 16, 2022","2.848","2.861","2.861","2.808","0.78%"
"Nov 15, 2022","2.826","2.848","2.865","2.818","-0.49%"
"Nov 14, 2022","2.840","2.785","2.840","2.785","3.54%"
"Nov 11, 2022","2.743","2.700","2.743","2.686","1.22%"
"Nov 10, 2022","2.710","2.738","2.738","2.689","0.33%"
"Nov 09, 2022","2.701","2.713","2.713","2.691","-0.04%"
"Nov 08, 2022","2.702","2.745","2.745","2.699","0.11%"
"Nov 07, 2022","2.699","2.693","2.721","2.692","-0.33%"
"Nov 04, 2022","2.708","2.688","2.713","2.676","1.20%"
"Nov 03, 2022","2.676","2.684","2.712","2.672","-0.26%"
"Nov 02, 2022","2.683","2.710","2.710","2.668","0.49%"
"Nov 01, 2022","2.670","2.670","2.672","2.650","0.75%"
"Oct 31, 2022","2.650","2.710","2.710","2.636","-1.23%"
"Oct 28, 2022","2.683","2.746","2.746","2.680","-0.67%"
"Oct 27, 2022","2.701","2.778","2.778","2.696","-0.95%"
"Oct 26, 2022","2.727","2.732","2.746","2.720","-0.22%"
"Oct 25, 2022","2.733","2.737","2.737","2.721","0.29%"
"Oct 24, 2022","2.725","2.810","2.810","2.723","-0.15%"
"Oct 21, 2022","2.729","2.790","2.790","2.722","-0.26%"
"Oct 20, 2022","2.736","2.748","2.748","2.712","0.92%"
"Oct 19, 2022","2.711","2.780","2.780","2.704","0.18%"
"Oct 18, 2022","2.706","2.731","2.731","2.705","-0.15%"
"Oct 17, 2022","2.710","2.740","2.740","2.699","-0.07%"
"Oct 16, 2022","2.712","2.712","2.712","2.712","-0.09%"
"Oct 15, 2022","2.714","2.714","2.714","2.714","0.00%"
"Oct 14, 2022","2.714","2.762","2.762","2.711","-0.73%"
"Oct 13, 2022","2.734","2.763","2.763","2.728","-0.51%"
"Oct 12, 2022","2.748","2.780","2.780","2.744","-0.18%"
"Oct 11, 2022","2.753","2.791","2.791","2.738","0.11%"
"Oct 10, 2022","2.750","2.799","2.799","2.744","-0.45%"
"Oct 09, 2022","2.763","2.768","2.773","2.757","-0.40%"
"Oct 08, 2022","2.773","2.794","2.802","2.773","0.34%"
"Oct 03, 2022","2.764","2.764","2.764","2.764","-0.65%"
"Sep 30, 2022","2.782","2.790","2.790","2.758","0.91%"
"Sep 29, 2022","2.757","2.759","2.759","2.736","0.40%"
"Sep 28, 2022","2.746","2.739","2.752","2.716","1.14%"
"Sep 27, 2022","2.715","2.723","2.760","2.707","-0.29%"
"Sep 26, 2022","2.723","2.800","2.800","2.691","1.11%"
"Sep 23, 2022","2.693","2.680","2.694","2.680","0.56%"
"Sep 22, 2022","2.678","2.670","2.679","2.668","0.37%"
"Sep 21, 2022","2.668","2.665","2.670","2.663","0.11%"
"Sep 20, 2022","2.665","2.683","2.683","2.663","-0.45%"
"Sep 19, 2022","2.677","2.690","2.690","2.673","-0.30%"
"Sep 16, 2022","2.685","2.670","2.685","2.670","0.71%"
"Sep 15, 2022","2.666","2.659","2.667","2.655","0.23%"
"Sep 14, 2022","2.660","2.668","2.668","2.657","0.26%"
"Sep 13, 2022","2.653","2.665","2.665","2.648","0.04%"
