"Date","Price","Open","High","Low","Change %"
"04/17/2023","2.167","2.160","2.169","2.160","-0.62%"
"04/14/2023","2.180","2.210","2.210","2.163","-0.55%"
"04/13/2023","2.192","2.210","2.210","2.160","0.55%"
"04/12/2023","2.180","2.264","2.264","2.173","-0.68%"
"04/11/2023","2.195","2.230","2.230","2.180","-0.99%"
"04/10/2023","2.217","2.240","2.240","2.188","1.14%"
"04/07/2023","2.192","2.240","2.240","2.181","0.92%"
"04/06/2023","2.172","2.283","2.283","2.171","-1.50%"
"04/04/2023","2.205","2.300","2.300","2.193","-0.14%"
"04/03/2023","2.208","2.245","2.245","2.198","-0.09%"
"03/31/2023","2.210","2.268","2.270","2.198","-1.12%"
"03/30/2023","2.235","2.280","2.280","2.230","-1.02%"
"03/29/2023","2.258","2.280","2.280","2.233","0.89%"
"03/28/2023","2.238","2.250","2.250","2.230","0.04%"
"03/27/2023","2.237","2.345","2.345","2.231","-1.37%"
"03/24/2023","2.268","2.340","2.340","2.218","1.25%"
"03/23/2023","2.240","2.285","2.285","2.203","-0.49%"
"03/22/2023","2.251","2.230","2.251","2.204","1.72%"
"03/21/2023","2.213","2.250","2.250","2.213","-0.54%"
"03/20/2023","2.225","2.240","2.240","2.151","0.91%"
"03/17/2023","2.205","2.255","2.255","2.203","-1.12%"
"03/16/2023","2.230","2.280","2.290","2.220","-1.11%"
"03/15/2023","2.255","2.250","2.255","2.230","0.49%"
"03/14/2023","2.244","2.257","2.257","2.229","0.45%"
"03/13/2023","2.234","2.280","2.280","2.224","-0.04%"
"03/10/2023","2.235","2.280","2.280","2.215","-0.67%"
"03/09/2023","2.250","2.330","2.330","2.240","-0.18%"
"03/08/2023","2.254","2.295","2.295","2.235","-0.49%"
"03/07/2023","2.265","2.303","2.303","2.251","-0.13%"
"03/06/2023","2.268","2.400","2.400","2.255","-1.52%"
"03/03/2023","2.303","2.372","2.372","2.285","-0.65%"
"03/02/2023","2.318","2.330","2.360","2.290","0.48%"
"03/01/2023","2.307","2.375","2.375","2.288","0.48%"
"02/28/2023","2.296","2.370","2.370","2.296","-0.35%"
"02/27/2023","2.304","2.360","2.360","2.288","0.61%"
"02/24/2023","2.290","2.310","2.310","2.258","0.88%"
"02/23/2023","2.270","2.300","2.300","2.175","1.75%"
"02/22/2023","2.231","2.300","2.300","2.224","-1.33%"
"02/21/2023","2.261","2.310","2.310","2.240","1.39%"
"02/20/2023","2.230","2.265","2.265","2.199","0.63%"
"02/17/2023","2.216","2.200","2.220","2.188","1.33%"
"02/16/2023","2.187","2.235","2.235","2.164","-0.95%"
"02/15/2023","2.208","2.200","2.208","2.180","-0.05%"
"02/14/2023","2.209","2.260","2.260","2.154","0.91%"
"02/13/2023","2.189","2.260","2.260","2.149","-0.05%"
"02/10/2023","2.190","2.200","2.200","2.150","0.14%"
"02/09/2023","2.187","2.190","2.190","2.140","0.09%"
"02/08/2023","2.185","2.260","2.260","2.145","0.23%"
"02/07/2023","2.180","2.180","2.180","2.147","1.02%"
"02/06/2023","2.158","2.180","2.220","2.130","5.01%"
"02/03/2023","2.055","2.080","2.085","2.035","-1.44%"
"02/02/2023","2.085","2.110","2.110","2.060","-0.71%"
"02/01/2023","2.100","2.120","2.120","2.075","-0.71%"
"01/31/2023","2.115","2.130","2.130","2.095","-0.24%"
"01/30/2023","2.120","2.130","2.130","2.090","2.17%"
"01/29/2023","2.075","2.080","2.085","2.060","0.24%"
"01/28/2023","2.070","2.080","2.108","2.070","-5.48%"
"01/20/2023","2.190","2.160","2.210","2.160","1.15%"
"01/19/2023","2.165","2.220","2.220","2.135","0.23%"
"01/18/2023","2.160","2.190","2.190","2.125","-0.14%"
"01/17/2023","2.163","2.210","2.210","2.135","0.60%"
"01/16/2023","2.150","2.150","2.150","2.125","0.70%"
"01/13/2023","2.135","2.145","2.145","2.105","0.00%"
"01/12/2023","2.135","2.140","2.147","2.108","0.00%"
"01/11/2023","2.135","2.145","2.165","2.125","-0.65%"
"01/10/2023","2.149","2.141","2.149","2.120","1.13%"
"01/09/2023","2.125","2.175","2.175","2.100","1.43%"
"01/06/2023","2.095","2.102","2.102","2.072","1.01%"
"01/05/2023","2.074","2.083","2.083","2.068","0.10%"
"01/04/2023","2.072","2.113","2.123","2.065","-1.80%"
"01/03/2023","2.110","2.155","2.155","2.085","-1.77%"
"12/30/2022","2.148","2.183","2.197","2.142","-1.24%"
"12/29/2022","2.175","2.270","2.295","2.165","-3.68%"
"12/28/2022","2.258","2.300","2.350","2.220","-0.13%"
"12/27/2022","2.261","2.260","2.270","2.225","0.76%"
"12/26/2022","2.244","2.250","2.300","2.215","0.49%"
"12/23/2022","2.233","2.285","2.300","2.220","-1.63%"
"12/22/2022","2.270","2.308","2.328","2.260","-1.09%"
"12/21/2022","2.295","2.310","2.313","2.280","-0.26%"
"12/20/2022","2.301","2.317","2.317","2.285","0.35%"
"12/19/2022","2.293","2.370","2.370","2.275","-1.16%"
"12/16/2022","2.320","2.345","2.345","2.308","0.61%"
"12/15/2022","2.306","2.351","2.351","2.298","-0.52%"
"12/14/2022","2.318","2.357","2.357","2.307","-0.56%"
"12/13/2022","2.331","2.325","2.331","2.300","0.78%"
"12/12/2022","2.313","2.360","2.360","2.275","0.83%"
"12/09/2022","2.294","2.250","2.294","2.250","1.82%"
"12/08/2022","2.253","2.260","2.276","2.240","0.13%"
"12/07/2022","2.250","2.216","2.280","2.193","2.27%"
"12/06/2022","2.200","2.210","2.220","2.188","-1.35%"
"12/05/2022","2.230","2.200","2.230","2.155","0.45%"
"12/02/2022","2.220","2.170","2.220","2.142","2.45%"
"12/01/2022","2.167","2.143","2.167","2.132","0.70%"
"11/30/2022","2.152","2.200","2.200","2.132","-1.74%"
"11/29/2022","2.190","2.125","2.190","2.088","3.64%"
"11/28/2022","2.113","2.110","2.160","2.055","-0.80%"
"11/25/2022","2.130","2.083","2.130","2.062","2.16%"
"11/24/2022","2.085","2.150","2.150","2.058","-2.80%"
"11/23/2022","2.145","2.177","2.177","2.133","-0.79%"
"11/22/2022","2.162","2.165","2.165","2.128","0.09%"
"11/21/2022","2.160","2.210","2.240","2.130","-0.92%"
"11/18/2022","2.180","2.215","2.230","2.153","-1.27%"
"11/17/2022","2.208","2.280","2.320","2.175","0.68%"
"11/16/2022","2.193","2.176","2.195","2.133","0.83%"
"11/15/2022","2.175","2.100","2.175","2.078","5.69%"
"11/14/2022","2.058","2.020","2.065","2.020","5.81%"
