Date,1Y,5Y,s,l
2023-03-20,3.65,4.30,4.35,4.90
2023-02-20,3.65,4.30,4.35,4.90
2023-01-20,3.65,4.30,4.35,4.90
2022-12-20,3.65,4.30,4.35,4.90
2022-11-21,3.65,4.30,4.35,4.90
2022-10-20,3.65,4.30,4.35,4.90
2022-09-20,3.65,4.30,4.35,4.90
2022-08-22,3.65,4.30,4.35,4.90
2022-07-20,3.70,4.45,4.35,4.90
2022-06-20,3.70,4.45,4.35,4.90
2022-05-20,3.70,4.45,4.35,4.90
2022-04-20,3.70,4.60,4.35,4.90
2022-03-21,3.70,4.60,4.35,4.90
2022-02-21,3.70,4.60,4.35,4.90
2022-01-20,3.70,4.60,4.35,4.90
2021-12-20,3.80,4.65,4.35,4.90
2021-11-22,3.85,4.65,4.35,4.90
2021-10-20,3.85,4.65,4.35,4.90
2021-09-22,3.85,4.65,4.35,4.90
2021-08-20,3.85,4.65,4.35,4.90
2021-07-20,3.85,4.65,4.35,4.90
2021-06-21,3.85,4.65,4.35,4.90
2021-05-20,3.85,4.65,4.35,4.90
2021-04-20,3.85,4.65,4.35,4.90
2021-03-22,3.85,4.65,4.35,4.90
2021-02-20,3.85,4.65,4.35,4.90
2021-01-20,3.85,4.65,4.35,4.90
2020-12-21,3.85,4.65,4.35,4.90
2020-11-20,3.85,4.65,4.35,4.90
2020-10-20,3.85,4.65,4.35,4.90
2020-09-21,3.85,4.65,4.35,4.90
2020-08-20,3.85,4.65,4.35,4.90
2020-07-20,3.85,4.65,4.35,4.90
2020-06-22,3.85,4.65,4.35,4.90
2020-05-20,3.85,4.65,4.35,4.90
2020-04-20,3.85,4.65,4.35,4.90
2020-03-20,4.05,4.75,4.35,4.90
2020-02-20,4.05,4.75,4.35,4.90
2020-01-20,4.15,4.80,4.35,4.90
2019-12-20,4.15,4.80,4.35,4.90
2019-11-20,4.15,4.80,4.35,4.90
2019-10-21,4.20,4.85,4.35,4.90
2019-09-20,4.20,4.85,4.35,4.90
