,age,num_2011,male_employed_2011,male_unemployed_2011,female_employed_2011,female_unemployed_2011,num_2013,male_employed_2013,male_unemployed_2013,female_employed_2013,female_unemployed_2013,num_2015,male_employed_2015,male_unemployed_2015,female_employed_2015,female_unemployed_2015,num_2017,male_employed_2017,male_unemployed_2017,female_employed_2017,female_unemployed_2017,num_2019,male_employed_2019,male_unemployed_2019,female_employed_2019,female_unemployed_2019
0,65.0,256,67,2,48,1,979,185,5,145,8,1744,343,4,245,5,2120,446,187,286,259,1923,461,74,323,98
1,64.0,283,71,3,50,1,1192,265,8,165,7,1594,321,11,220,7,2175,480,152,340,239,1914,481,71,360,81
2,63.0,319,79,2,65,3,1269,261,11,207,9,1971,439,13,326,7,2249,505,144,381,219,1782,448,68,353,80
3,62.0,317,86,5,55,3,1220,275,16,197,8,2040,431,16,327,3,2173,525,143,354,196,1806,449,66,365,86
4,61.0,419,101,3,89,8,1437,343,20,261,13,2033,469,13,356,7,2068,530,114,349,171,1683,467,67,334,61
5,60.0,405,125,11,84,1,1568,420,26,308,20,2114,562,21,367,11,2070,592,134,354,141,1345,442,49,274,50
6,59.0,420,134,8,102,5,1528,495,36,279,15,1895,611,38,344,9,1914,581,139,357,144,1341,507,56,298,45
7,58.0,416,138,10,88,3,1439,489,47,286,8,1923,635,38,339,6,1497,515,93,277,99,1136,441,51,239,38
8,57.0,474,155,11,142,4,1414,481,44,309,15,1899,616,31,365,9,1546,560,83,257,104,2064,795,85,549,68
9,56.0,450,173,17,112,2,1381,457,55,276,15,1415,497,28,271,10,1392,499,82,297,86,2374,918,107,628,75
10,55.0,442,175,27,108,8,1368,488,55,312,13,1592,605,34,301,11,2407,891,117,579,127,1965,783,87,536,88
11,54.0,424,164,15,131,9,1035,392,45,234,10,1281,521,37,297,4,2757,1032,127,681,134,1992,821,94,572,82
12,53.0,416,167,24,117,5,1118,434,45,271,13,2333,935,52,615,8,2246,840,106,617,110,1846,799,55,561,75
13,52.0,298,109,11,92,5,957,406,35,235,15,2722,1086,42,706,21,2311,927,80,690,95,1611,675,54,518,64
14,51.0,350,145,16,83,10,1724,757,54,481,23,2330,904,58,670,15,2045,866,62,605,77,2099,920,66,689,80
15,50.0,284,112,19,93,10,2040,856,70,627,39,2351,968,39,750,21,1878,749,65,617,70,1820,790,67,648,80
