,age,health_status,health_care_cost,kid_num,income,con_base,own_bef,house_fund_balance,long_term_bond,equity_return,p_long_term_bond,p_equity_return,debt_commerical,debt_house_fund,house_price,single_child_spend,house_cost,loan_ratio,house_fund_withdraw,house_fund_loan_pay,house_commerical_loan_pay,long_term_bond_saving,equity_return_saving,p_long_term_bond_saving,p_equity_return_saving,wealth,non_consumption,house_size,reward
0,25,1.0,752.7370392861861,2,121384.76262589876,29981.399999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38240.257,8147.306567669625,7039.471685843537,0.5870866060256958,0.0,0.0,0.0,31622.841301328484,40928.985608184856,4139.98818397522,3933.4927797317505,6279.127334451288,16672.632892209454,0.3976669672446233,-3.6299737364493973e-07
1,26,1.0,752.7370392861861,2,50575.97301688714,93605.47499916668,1,2998.14,31622.841301328484,40928.985608184856,4139.98818397522,3933.4927797317505,0.0,8927.759693393687,39003.139434640725,10039.132110475446,0.0,0.0,1121.6955796194077,4041.2415703916868,0.0,-2934.413833051254,-4051.885717772857,8968.827724456787,3444.1545009613037,91136.66000538201,21398.743091283803,0.3976669672446233,-3.629973736436518e-07
2,27,1.0,752.7370392861861,2,48338.84570577116,48191.10031185737,1,11274.52080870487,27042.703226033063,37602.13595952366,12893.36155213145,7447.327095633923,0.0,4998.908039831046,39920.77320203049,10984.250027182085,0.0,0.0,908.798129499258,2228.49832480156,0.0,-9763.23957354706,5990.527355358652,6922.611236572266,3186.4196062088013,98026.57150415881,17961.58979222584,0.3976669672446233,-3.629973736433649e-07
3,28,1.0,752.7370392861861,2,133962.86984282316,38671.076564616924,1,15392.147163975462,15872.100154099076,44258.766096860825,19144.973063997677,10765.672327079694,0.0,2834.129138475164,40859.99632918851,19321.465372126593,0.0,0.0,517.9041548801176,1289.5462738571441,0.0,7617.141264805559,47839.75827768147,6877.618789672852,3089.5990133285522,104710.07419338787,28371.442594818334,0.3976669672446233,-3.6299737364280357e-07
4,29,1.0,752.7370392861861,2,41368.027540951836,108308.48996046021,1,19038.83552573894,22663.221393727687,92882.54598586235,25026.244112741533,14045.979769702202,0.0,1580.108270504234,41821.31672580882,14501.787936304045,0.0,0.0,271.9553421827508,775.7000137290325,0.0,2231.715809975638,-26360.408526438652,9194.430112838745,2890.1955485343933,170426.03780388198,23152.037012601155,0.3976669672446233,-3.629973736429374e-07
5,30,1.0,752.7370392861861,2,421166.87397896935,33094.42203276147,1,29973.066783273334,23715.49185466405,68167.50468922795,32918.25182455023,17184.992731435836,0.0,822.9096466810311,42805.25427827793,34992.05877937586,0.0,0.0,150.21405327525605,416.69868048464645,0.0,-2881.362405660966,300983.2783485994,8902.761697769165,3145.9633111953735,158592.9229324369,40012.893801819126,0.3976669672446233,-3.1030705612803495e-07
6,31,1.0,752.7370392861861,2,105262.49775767044,163948.99787397723,1,33728.75198787419,19599.921562921027,370358.3358365012,40107.87317309637,20635.379479614006,0.0,415.5538184189014,43812.341104441744,38268.531535538576,0.0,0.0,69.78024301416363,208.2467062652012,0.0,30447.77440626534,-66964.04858186428,9331.732034683228,3566.8609142303467,467912.1556912897,51451.912410741425,0.3976669672446233,-2.1366654911196016e-07
7,32,1.0,752.7370392861861,2,2658.0957604391792,100381.54284946129,1,50727.05096715495,49027.67167840661,309954.99747852515,47352.300686853996,24567.785683435144,0.0,212.0751757332353,44843.12184137733,21838.376912196076,0.0,0.0,41.154179534641884,109.80656008556538,0.0,-32387.122312897176,-50699.28456517198,8927.147626876831,3461.6414308547974,448630.76299785497,28857.570336547455,0.3976669672446233,-3.6299737364278075e-07
8,33,1.0,752.7370392861861,2,116987.43087047344,33653.49926685107,1,61737.76900831885,14089.038336661382,264746.4086102912,53815.127384188294,28464.63298686078,0.0,104.62079380756633,45898.15393993509,24465.663494392014,0.0,0.0,19.871460454310686,56.58361677560829,0.0,348.16510033406666,29234.51052536862,8550.707817077637,2577.786147594452,379367.3869974225,26555.485095707147,0.3976669672446233,-3.629973736427679e-07
9,34,1.0,752.7370392861861,2,289499.91846463335,94126.02950684854,1,66317.60542550693,13703.977985506443,298670.7675922476,59565.1741390745,31546.655682106655,0.0,0.0,46978.007966210644,32743.063132064966,0.0,0.0,0.0,0.0,0.0,7417.552215215985,158602.80222325894,9277.976989746094,3983.0135107040405,422168.17735405196,43979.71022229217,0.3976669672446233,-2.696931317935795e-07
10,35,1.0,752.7370392861861,2,1120126.3963744247,169692.76828552727,1,77056.56048470193,20408.344161653178,462564.37109879137,65743.2446158617,36088.502210557184,0.0,0.0,48083.267910109586,111043.95263132262,0.0,0.0,0.0,0.0,0.0,76348.54212869024,652506.8225788608,8837.945938110352,4188.301205635071,603925.5894118875,155404.1422211968,0.3976669672446233,-4.143104711345812e-08
11,36,1.0,752.7370392861861,2,257603.0543122451,171467.0920346331,1,95566.9685229487,95694.78985732191,1123265.2870867283,71159.76326674668,40916.09294340878,0.0,0.0,49214.53150117182,93800.09642679318,0.0,0.0,0.0,0.0,0.0,15039.316179719797,-82942.40540528053,9084.585428237915,3516.077399253845,1350606.9266406416,124552.55081744153,0.3976669672446233,-5.7537779375048316e-08
12,37,1.0,752.7370392861861,2,425540.81575051206,170388.07346421003,1,114625.01709687097,105753.93252756233,1060220.95697786,76541.03351460479,45156.97819311665,0.0,0.0,50372.410531826376,98067.90743107839,0.0,0.0,0.0,0.0,0.0,-4882.398214920191,90146.49042061507,9156.957149505615,3551.3845682144165,1307704.3449421362,130679.8299256542,0.3976669672446233,-5.358002230527166e-08
13,38,1.0,752.7370392861861,2,294334.8997081074,170080.41482741028,1,133956.3247852294,95367.86024551383,1169148.7243375096,81714.6219972692,49508.29574472763,0.0,0.0,51557.531188251516,95528.48940401225,0.0,0.0,0.0,0.0,0.0,12662.707236869668,-46702.310801355634,9060.352563858032,3522.331953048706,1416242.2293912722,123982.10290837596,0.3976669672446233,-5.793108205732756e-08
14,39,1.0,752.7370392861861,2,157473.6583623536,175403.77719111223,1,153643.492763675,103067.40813004495,1143157.2906700042,86522.36063706015,53907.6420663772,0.0,0.0,52770.53438901902,83972.35818006685,0.0,0.0,0.0,0.0,0.0,-9985.081644132573,-122001.53749826527,9068.349123001099,3467.520833015442,1407639.799873846,108226.95414931502,0.3976669672446233,-7.087655605105082e-08
15,40,1.0,752.7370392861861,2,598890.5903377164,144673.4785759984,1,174256.74033805972,87718.46523050594,1041406.205230477,91087.890232846,58330.109458518345,0.0,0.0,54012.076131705835,105266.44256247854,0.0,0.0,0.0,0.0,0.0,1982.2357899796189,234162.65521980566,9099.301815032959,3651.4896154403687,1300021.4886622285,138709.28573321452,0.3976669672446233,-4.90424072559952e-08
16,41,1.0,752.7370392861861,2,169548.1911004739,181143.40767615204,1,192209.22300242077,85135.63350234284,1294016.8435973192,95446.77202450736,63014.88740165539,0.0,0.0,55282.82784766051,92059.23703060519,0.0,0.0,0.0,0.0,0.0,22991.39953588959,-167458.7600505012,8993.502616882324,3459.509253501892,1559598.2910167105,116691.32864420474,0.3976669672446233,-6.338275819461318e-08
17,42,1.0,752.7370392861861,2,938730.491109672,155021.8604246994,1,214167.7482300844,103696.38193054653,1149480.9361309174,99473.00854142239,67590.67344989834,0.0,0.0,56583.47676511628,141931.66531896015,0.0,0.0,0.0,0.0,0.0,8061.62275531191,447922.71999474964,9028.834104537964,3733.130693435669,1442742.3796541253,185368.11588443036,0.3976669672446233,-3.189278175673197e-08
18,43,1.0,752.7370392861861,2,1172348.3528582111,187131.6035483713,1,233953.28923715604,106361.41020992782,1617766.1283589583,103325.04208257729,72521.13866893789,0.0,0.0,57914.726280847164,195636.54179943854,0.0,0.0,0.0,0.0,0.0,63721.32792048066,448666.7359204632,9069.283962249756,3689.4586086273193,1923004.492879308,255175.72580822697,0.3976669672446233,-1.984754455856653e-08
19,44,1.0,752.7370392861861,2,1318360.7164934196,191354.3602287444,1,257345.5153767363,164547.44954940927,2095090.7713688146,107017.0569352683,77495.27249579321,0.0,0.0,59277.29634056813,236813.96132715812,0.0,0.0,0.0,0.0,0.0,70428.7059820093,448270.9719259916,9027.606010437012,3704.0340900421143,2467723.1730115,312548.7387913371,0.3976669672446233,-1.4689210413078223e-08
20,45,1.0,752.7370392861861,2,5344914.229296856,191949.18416685276,1,281627.86170714546,226412.7337346815,2580475.2145297597,110475.25302478795,82572.09606394391,0.0,0.0,60671.923828284955,568615.4114781797,0.0,0.0,0.0,0.0,0.0,375657.19958170434,3032030.4745273325,8647.1586227417,4345.1396226882935,3024062.5172988647,786250.696946743,0.3976669672446233,-3.736317770992518e-09
21,46,1.0,752.7370392861861,2,4750501.839142482,195486.5625722372,1,306455.3373579736,590286.9020726217,5658217.499712623,113373.029373036,88379.95852134586,0.0,0.0,62099.36296480439,608391.0917012487,0.0,0.0,0.0,0.0,0.0,997792.2428254667,1598122.7576333769,7884.324789047241,5030.964374542236,6474952.255017662,924136.6290782648,0.3976669672446233,-2.939705984533623e-09
22,47,1.0,752.7370392861861,2,3161150.7803878435,200993.87396807666,1,332133.10036235687,1557359.278152179,7356572.712801615,115357.16504609428,94976.52907064364,0.0,0.0,63560.3857156202,460182.4133351024,0.0,0.0,0.0,0.0,0.0,1804722.5434090765,-449117.4381422894,7070.265769958496,6358.522653579712,9149541.55089496,870999.3229880272,0.3976669672446233,-3.2097407274027508e-09
23,48,1.0,752.7370392861861,2,11481674.040875588,206832.0985036089,1,358875.1497664117,3281033.31899012,7037773.231998246,116423.98278771434,103017.51280315603,0.0,0.0,65055.7822083955,1492347.2875833767,0.0,0.0,0.0,0.0,0.0,-1663718.6681153623,8034326.357353678,8586.49492263794,4455.174565315247,10564118.582191776,2112577.369943278,0.3976669672446233,-8.618555070673212e-10
24,49,1.0,752.7370392861861,2,40241.02786407374,209500.71946969687,1,386735.8626121008,1446562.2489590796,15196770.17545414,118951.51007155041,109297.59039910152,0.0,0.0,66586.36116026742,609898.5619153087,0.0,0.0,0.0,0.0,0.0,5577049.930248097,-8042433.716892857,7769.973278045654,5298.887014389038,16898060.72118633,1272006.0933464959,0.3976669672446233,-1.829761281229367e-09
25,50,1.0,752.7370392861861,2,185207.6871242133,54979.00725080466,1,415420.6518113125,6948329.8048708085,7423539.540584516,120530.97746882497,116532.6288360261,0.0,0.0,68152.9503152049,839866.0775042431,0.0,0.0,0.0,0.0,0.0,-5720033.431224502,2863522.9083976056,7586.887836456299,4774.008393287659,14636035.128820797,1348872.4216735929,0.3976669672446233,-1.677179768209297e-09
26,51,1.0,752.7370392861861,2,758185.574455848,152409.72919264922,1,429226.96557261917,866689.5601412347,10418566.689736817,121845.16036536891,123370.95369108391,0.0,0.0,69756.39689165638,425494.348674408,0.0,0.0,0.0,0.0,0.0,3975070.6580346376,-4914482.6738955,7758.062839508057,5354.925155639648,11558212.178732323,832743.1679334602,0.3976669672446233,-3.4309781618449595e-09
27,52,1.0,752.7370392861861,2,1220019.3792360849,219347.52217635297,1,453052.4778033365,4796655.731350695,5688643.644680866,123262.12521182412,130911.33276767771,0.0,0.0,71397.56804072934,684910.2755714394,0.0,0.0,0.0,0.0,0.0,-4287124.68536372,3162934.2357990695,8616.790294647217,3491.1736249923706,10767865.288362462,961528.5766989309,0.3976669672446233,-2.771663451649249e-09
28,53,1.0,752.7370392861861,2,0.0,0.0,1,484048.27957703854,259902.2224848615,8952349.31967387,125464.07545491456,136721.53430754575,0.0,0.0,73077.3513151495,325934.4672554175,0.0,0.0,0.0,0.0,0.0,3435191.5874945996,-4718194.109086151,7773.031711578369,5285.016059875488,9503497.600592956,618075.5393092628,0.3976669672446233,-5.3401164072964295e-09
29,54,1.0,752.7370392861861,2,756642.8066496433,45016.02633603718,1,493729.24516857933,3680854.347024004,4392741.541787057,126707.67263924755,144428.50305799925,0.0,0.0,74796.65514925332,518426.8698312948,0.0,0.0,0.0,0.0,0.0,-3297623.58603686,2268518.993001952,8311.029195785522,3799.908757209778,8374476.223521554,736029.9850296804,0.3976669672446233,-4.1208182576013896e-09
